label,sig_ts,detected_at,lag_sec,exceeds_floor,gate_lockout_signature,direction,price_then,price_now,est_damage_usd
S4V2,2026-09-10T11:30:00+00:00,1789041603.43764,1803.4,True,False,short,77883.0,77825.5,5.75
S4V2,2026-09-10T13:30:00+00:00,1789048807.059914,1807.1,True,False,short,77009.0,77145.5,13.65
S4V2,2026-09-10T13:30:00+00:00,1789048807.059914,1807.1,True,False,long,77009.0,77145.5,13.65
S4V2,2026-09-10T15:00:00+00:00,1789054203.003575,1803.0,True,False,long,77239.0,77087.0,15.2
S4V2,2026-09-10T15:00:00+00:00,1789054203.003575,1803.0,True,False,short,77147.0,77087.0,6.0
S4V2,2026-09-10T15:30:00+00:00,1789056002.890541,1802.9,True,False,short,77193.0,77226.0,3.3
S4V2,2026-09-10T15:30:00+00:00,1789056002.890541,1802.9,True,False,long,77193.0,77226.0,3.3
S4V2,2026-09-10T16:00:00+00:00,1789057803.783176,1803.8,True,False,long,77101.0,76903.0,19.8
S4V2,2026-09-10T16:00:00+00:00,1789057803.783176,1803.8,True,False,short,77101.0,76903.0,19.8
S4V2,2026-09-10T16:30:00+00:00,1789059604.565568,1804.6,True,False,short,77009.0,77180.0,17.1
S4V2,2026-09-10T16:30:00+00:00,1789059604.565568,1804.6,True,False,long,77009.0,77180.0,17.1
S4,2026-09-10T16:00:00+00:00,1789063203.805268,7203.8,True,False,long,77285.0,77304.0,1.9
S4V2,2026-09-10T18:00:00+00:00,1789065005.495173,1805.5,True,False,long,77147.0,77051.0,9.6
S4V2,2026-09-10T18:00:00+00:00,1789065005.495173,1805.5,True,False,short,77101.0,77051.0,5.0
S4V2,2026-09-10T18:30:00+00:00,1789066805.911708,1805.9,True,False,short,77147.0,77230.5,8.35
S4V2,2026-09-10T18:30:00+00:00,1789066805.911708,1805.9,True,False,long,77147.0,77230.5,8.35
S4V2,2026-09-10T19:30:00+00:00,1789070402.888665,1802.9,True,False,long,77101.0,77140.0,3.9
S4V2,2026-09-10T19:30:00+00:00,1789070402.888665,1802.9,True,False,short,77101.0,77140.0,3.9
S4,2026-09-10T18:00:00+00:00,1789070405.389571,7205.4,True,False,long,77193.0,77140.0,5.3
S4V2,2026-09-10T20:00:00+00:00,1789072203.188773,1803.2,True,False,short,77239.0,77256.5,1.75
S4V2,2026-09-10T20:00:00+00:00,1789072203.188773,1803.2,True,False,long,77239.0,77256.5,1.75
S4V2,2026-09-10T21:30:00+00:00,1789077617.0059,1817.0,True,False,long,77147.0,77121.5,2.55
S4V2,2026-09-10T21:30:00+00:00,1789077617.0059,1817.0,True,False,short,77147.0,77121.5,2.55
S4,2026-09-10T22:00:00+00:00,1789084802.966349,7203.0,True,False,short,77055.0,76543.0,51.2
S4V2,2026-09-11T00:00:00+00:00,1789086605.703495,1805.7,True,False,short,76687.0,76826.0,13.9
S4V2,2026-09-11T00:00:00+00:00,1789086605.703495,1805.7,True,False,long,76687.0,76826.0,13.9
S4,2026-09-11T00:00:00+00:00,1789092004.108432,7204.1,True,False,short,76687.0,76954.0,26.7
S4,2026-09-11T00:00:00+00:00,1789092004.108432,7204.1,True,False,long,76687.0,76954.0,26.7
S4V2,2026-09-11T02:00:00+00:00,1789093803.47328,1803.5,True,False,long,76779.0,76784.0,0.5
S4,2026-09-11T02:00:00+00:00,1789099206.157694,7206.2,True,False,long,76825.0,76867.5,4.25
S4V2,2026-09-11T04:00:00+00:00,1789101002.182946,1802.2,True,False,long,76917.0,77153.0,23.6
S4V2,2026-09-11T04:30:00+00:00,1789102803.97634,1804.0,True,False,long,77055.0,77084.0,2.9
S4,2026-09-11T04:00:00+00:00,1789106403.135501,7203.1,True,False,long,76963.0,77228.0,26.5
S4V2,2026-09-11T05:30:00+00:00,1789106405.466753,1805.5,True,False,long,77193.0,77228.0,3.5
S4V2,2026-09-11T09:00:00+00:00,1789119002.181516,1802.2,True,False,long,77193.0,77112.0,8.1
S4V2,2026-09-11T09:00:00+00:00,1789119002.181516,1802.2,True,False,short,77193.0,77112.0,8.1
S4,2026-09-11T08:00:00+00:00,1789120802.266874,7202.3,True,False,long,77101.0,77008.5,9.25
S4,2026-09-11T08:00:00+00:00,1789120802.266874,7202.3,True,False,short,77101.0,77008.5,9.25
S4V2,2026-09-11T11:30:00+00:00,1789128002.150612,1802.2,True,False,short,76963.0,77022.0,5.9
S4V2,2026-09-11T11:30:00+00:00,1789128002.150612,1802.2,True,False,long,77009.0,77022.0,1.3
S4V3,2026-09-11T08:00:00+00:00,1789128006.559187,14406.6,True,False,short,77101.0,77007.5,9.35
S4V2,2026-09-11T13:00:00+00:00,1789133403.740025,1803.7,True,False,long,77837.0,77494.5,34.25
S4V2,2026-09-11T13:00:00+00:00,1789133403.740025,1803.7,True,False,short,77837.0,77494.5,34.25
S4,2026-09-11T12:00:00+00:00,1789135205.746518,7205.7,True,False,short,77101.0,79219.5,211.85
S4V2,2026-09-11T13:30:00+00:00,1789135206.111367,1806.1,True,False,short,77607.0,79219.5,161.25
S4,2026-09-11T12:00:00+00:00,1789135205.746518,7205.7,True,False,long,77147.0,79219.5,207.25
S4V2,2026-09-11T13:30:00+00:00,1789135206.111367,1806.1,True,False,long,77699.0,79219.5,152.05
S4V2,2026-09-11T14:00:00+00:00,1789137004.773357,1804.8,True,False,long,79125.0,79006.5,11.85
S4V2,2026-09-11T14:00:00+00:00,1789137004.773357,1804.8,True,False,short,79125.0,79006.5,11.85
S4,2026-09-11T14:00:00+00:00,1789142409.747885,7209.7,True,False,long,79125.0,77690.5,143.45
S4,2026-09-11T14:00:00+00:00,1789142409.747885,7209.7,True,False,short,79125.0,77690.5,143.45
S4V3,2026-09-11T00:00:00+00:00,1789142415.884793,57615.9,True,True,short,76641.0,77690.5,104.95
S4V2,2026-09-11T16:30:00+00:00,1789146004.418046,1804.4,True,False,short,77791.0,77881.0,9.0
S4V2,2026-09-11T16:30:00+00:00,1789146004.418046,1804.4,True,False,long,77791.0,77881.0,9.0
S4V2,2026-09-11T17:30:00+00:00,1789149602.561722,1802.6,True,False,long,77745.0,77501.5,24.35
S4V2,2026-09-11T17:30:00+00:00,1789149602.561722,1802.6,True,False,short,77561.0,77501.5,5.95
S4V2,2026-09-11T19:00:00+00:00,1789155002.692203,1802.7,True,False,short,77193.0,77201.0,0.8
S4V2,2026-09-11T19:00:00+00:00,1789155002.692203,1802.7,True,False,long,77193.0,77201.0,0.8
S4V3,2026-09-11T16:00:00+00:00,1789156805.188123,14405.2,True,False,short,77607.0,77250.5,35.65
S4V2,2026-09-11T21:30:00+00:00,1789164004.988883,1805.0,True,False,long,77193.0,77088.5,10.45
S4V2,2026-09-11T21:30:00+00:00,1789164004.988883,1805.0,True,False,short,77055.0,77088.5,3.35
S4V2,2026-09-11T23:00:00+00:00,1789169420.970648,1821.0,True,False,short,77193.0,77168.0,2.5
